Anime,Genre_Tags,Source,Nb_Episodes,Status,Studio,Date_Pub,Note_Globale,Note_Meilleur_Ep,Meilleur_Ep_Titre,Comm_Meilleur_Ep,Note_Pire_Ep,Pire_Ep_Titre,Comm_Pire_Ep,Comm_Saison_1,Comm_Saison_2,Comm_Saison_3,Genre_Principal,Annee,Ecart_Qualite,Score_Editorial,Decision_Finale
Oshi no Ko,Drama / Mystery,Manga,11,En cours,Doga Kobo,2023-04-12,8.7,9.6,Ep 1: Mother and Children,"Épisode pilote de 1h20. Un film à part entière, choc scénaristique.",8.0,Ep 4: Actors,Rythme un peu plus classique après le démarrage explosif.,Critique acerbe du show-biz japonais et des idoles.,Mélange unique de vengeance sombre et de paillettes.,(Saison 2 annoncée),Drama,2023,1.5999999999999996,8.54,💎 PÉPITE (A acheter)
GTO,Comedy / Slice of Life,Manga,43,Fini,Studio Pierrot,1999-06-30,8.7,9.2,Ep 43: La dernière leçon,Conclusion émouvante de la carrière d'Onizuka.,7.4,Ep 34: Gangsters,Histoire un peu tirée par les cheveux avec des Yakuza.,"Onizuka devient prof, leçons de vie non conventionnelles.",Affrontement avec la sous-directrice et élèves difficiles.,Arc final et rédemption des élèves les plus durs.,Comedy,1999,1.799999999999999,8.52,💎 PÉPITE (A acheter)
Berserk (1997),Dark Fantasy / Horror,Manga,25,Fini,OLM,1997-10-07,8.7,9.4,Ep 25: L'Heure éternelle,L'Eclipse. Le traumatisme fondateur de tous les fans de Berserk.,7.5,Ep 1: Le Chevalier Noir,Flash-forward qui spoile un peu et animation datée.,L'Âge d'Or : Une histoire d'amitié et d'ambition inégalée.,Guts et Griffith : la meilleure dualité de l'anime.,La fin brutale laisse sur sa faim (Lisez le manga !).,Dark Fantasy,1997,1.9000000000000004,8.51,💎 PÉPITE (A acheter)
Your Lie in April,Drama / Music,Manga,22,Fini,A-1 Pictures,2014-10-09,8.6,9.5,Ep 22: Spring Breeze,La lettre de Kaori. Préparez les mouchoirs.,8.4,Ep 1: Monotone/Colorful,"Début un peu lent pour certains, mais visuellement beau.",Une oeuvre magnifique sur le traumatisme et la guérison.,La musique classique est un personnage à part entière.,Kaori Miyazono : une flamme qui brûle vite et fort.,Drama,2014,1.0999999999999996,8.49,✅ Valeur Sûre
Haikyuu!!,Sport / Volley,Manga,85,Fini,Production I.G,2014-04-06,8.7,9.9,Ep 10 (S3): La bataille de concepts,Match Karasuno vs Shiratorizawa. Tension irrespirable.,7.5,Ep 15 (S4): Found,"Animation parfois instable dans la S4, mais reste correct.","Formation de l'équipe, duo Hinata/Kageyama explosif.",Développement des rivaux et tournois qualificatifs.,Saison 3 entière dédiée à un seul match légendaire.,Sport,2014,2.4000000000000004,8.459999999999999,✅ Valeur Sûre
Code Geass,Sci-Fi / Mecha,Original,50,Fini,Sunrise,2006-10-06,8.7,9.8,Ep 50: Re;,Le 'Zero Requiem'. Considéré comme la meilleure fin d'animé jamais écrite.,7.1,Ep 6: Le masque volé,"Episode 'humour' au lycée avec un chat, détonne avec le sérieux.",La rébellion de Lelouch et la stratégie militaire avec le Geass.,"La chute et l'exil, perte de mémoire et reconstruction.",La conquête mondiale et le sacrifice final pour la paix.,Sci-Fi,2006,2.700000000000001,8.43,✅ Valeur Sûre
Made in Abyss,Adventure / Mystery,Manga,25,En cours,Kinema Citrus,2017-07-07,8.6,9.6,Ep 13: The Challengers,Un épisode final d'une beauté et d'une cruauté absolues.,7.5,Ep 6: Incinerator,"Episode d'entraînement, nécessaire mais moins captivant.",Contraste brutal entre le design 'Chibi' et l'horreur du scénario.,Un voyage sans retour vers les profondeurs traumatisantes.,,Adventure,2017,2.0999999999999996,8.39,✅ Valeur Sûre
Death Note,Thriller / Supernatural,Manga,37,Fini,Madhouse,2006-10-04,8.6,9.5,Ep 25: Silence,La mort de L. Un tournant scénaristique choquant et brillant.,7.2,Ep 26: Régénération,"Transition brutale après le climax, introduction de Near/Mello.","Le duel intellectuel Kira vs L, tension psychologique maximale.",L'arrivée de Misa et la complexification des règles du cahier.,La seconde partie avec Near et Mello (souvent jugée inférieure).,Thriller,2006,2.3,8.37,✅ Valeur Sûre
Jujutsu Kaisen,Action / Supernatural,Manga,47,En cours,MAPPA,2020-10-03,8.6,9.8,Ep 41 (S2): Thunderclap,Sukuna détruit Shibuya. Animation apocalyptique.,7.5,Ep 22: The Origin of Blind Obedience,Un peu de remplissage avant le final de la S1.,"Introduction de Yuji et des fléaux, école d'exorcisme.",Tournoi inter-lycées et montée en puissance.,"Arc de Shibuya (S2) : Tragédie, combats et pertes majeures.",Action,2020,2.3000000000000007,8.37,✅ Valeur Sûre
Dragon Ball Z,Action / Shonen,Manga,291,Fini,Toei Animation,1989-04-26,8.7,9.4,Ep 237: Le sacrifice d'un père,"Rédemption ultime de Vegeta, sommet émotionnel.",5.9,Ep 39: Amis ou ennemis (Fake Namek),"Filler ennuyeux sur une fausse planète, inutile.",Introduction des Saiyans et codes du Shonen posés.,Aventure spatiale et tension tactique sur Namek.,"Transformation Super Saiyan iconique, combat épique.",Action,1989,3.5,8.35,✅ Valeur Sûre
Samurai Champloo,Adventure / Chanbara,Original,26,Fini,Manglobe,2004-05-20,8.5,9.2,Ep 26: Evanescent Encounter,Fin stylée et mélancolique. Le voyage valait le coup.,7.4,Ep 22: Cosmic Collisions,Episode 'Zombies' étrange qui divise les fans (aimé ou détesté).,"Mélange Hip-hop et Samouraïs, voyage épisodique cool.",Exploration du passé sombre des protagonistes.,Conclusion du voyage vers le 'Samouraï qui sent le tournesol'.,Adventure,2004,1.799999999999999,8.32,✅ Valeur Sûre
Yū Yū Hakusho,Action / Supernatural,Manga,112,Fini,Studio Pierrot,1992-10-10,8.5,9.1,Ep 58: Grim Determination,Hiei utilise le Dragon of the Darkness Flame. Culte.,7.3,Ep 112: Forever!,Fin un peu abrupte mais nostalgique.,Tournoi des Ténèbres : Le standard or des tournois en anime.,Les 4 protagonistes ont une alchimie parfaite.,Yusuke Urameshi est un délinquant au grand coeur.,Action,1992,1.7999999999999998,8.32,✅ Valeur Sûre
Mob Psycho 100,Action / Supernatural,Manga,37,Fini,Bones,2016-07-11,8.5,9.5,Ep 2x07: Cornered,L'évolution de Reigen et le climax émotionnel de la S2.,7.5,Ep 1: Self Proclaimed Psychic,Style visuel unique qui peut dérouter au premier épisode.,Animation 'Sakuga' époustouflante de Bones.,Reigen Arataka est l'un des meilleurs mentors de l'anime.,,Action,2016,2.0,8.3,✅ Valeur Sûre
Chainsaw Man,Action / Horror,Manga,12,En cours,MAPPA,2022-10-12,8.4,8.7,Ep 8: GUNFIRE,Le tournant brutal de la série. Mise en scène cinématographique.,7.7,Ep 2: ARRIVAL IN TOKYO,"Introduction des personnages, rythme un peu plus posé.","Une direction artistique 'cinéma' unique, loin des standards anime.",Denji : un héros aux motivations simples mais réalistes.,,Action,2022,0.9999999999999991,8.3,✅ Valeur Sûre
Tengen Toppa Gurren Lagann,Mecha / Action,Original,27,Fini,Gainax,2007-04-01,8.6,9.5,Ep 27: Toutes les lumières du ciel,Combat final à l'échelle galactique. Hype pure.,6.5,Ep 4: Visages multiples,Animation désastreuse due à un directeur invité (épisode célèbre pour ça).,"Montée en puissance exponentielle, l'esprit du Shonen incarné.",Ellipse temporelle et enjeux politiques plus matures.,Bataille spatiale finale défiant la logique.,Mecha,2007,3.0,8.299999999999999,✅ Valeur Sûre
Du mouvement de la Terre,Historical / Drama,Manga,8,Fini,Madhouse,2024-10-05,8.4,8.9,Ep 8: La vérité,Conclusion philosophique puissante sur la science et la foi.,7.8,Ep 2: L'hérétique,Mise en place un peu dense des concepts astronomiques.,Lutte intellectuelle et tortures pour prouver l'héliocentrisme.,(Série courte en 1 saison unique),(Non diffusé),Historical,2024,1.1000000000000005,8.290000000000001,✅ Valeur Sûre
One Piece,Adventure / Shonen,Manga,1090,En cours,Toei Animation,1999-10-20,8.7,9.8,Ep 1015: Chapeau de Paille Luffy,"Réalisation cinéma époustouflante, sommet de Wano.",5.6,Ep 336: Chopperman (Filler),Episode hors-série enfantin totalement dispensable.,"Saga East Blue : La formation de l'équipage, nostalgie pure.",Saga Alabasta : Premier grand défi géopolitique contre un Corsaire.,Saga Skypiea/Water 7 : Aventure céleste puis drame interne majeur.,Adventure,1999,4.200000000000001,8.28,✅ Valeur Sûre
SPY×FAMILY,Comedy / Slice of Life,Manga,37,En cours,Wit / CloverWorks,2022-04-09,8.4,9.1,Ep 2: Secure a Wife,L'introduction de Yor. Mélange parfait d'action et comédie.,7.8,Ep 17: Carry Out the Griffon Plan,"Episode plus léger 'Slice of Life', moins d'enjeux.",La dynamique familiale Forger est le coeur de la série.,Anya est une icône de la culture anime moderne.,,Comedy,2022,1.2999999999999998,8.27,✅ Valeur Sûre
Demon Slayer: Kimetsu no Yaiba,Action / Supernatural,Manga,55,En cours,Ufotable,2019-04-06,8.5,9.9,Ep 2x17: I Will Never Give Up,Combat d'une intensité visuelle inégalée (Tengen vs Gyutaro).,7.3,Ep 11: Tsuzumi Mansion,Arc un peu plus lent avant le Mont Natagumo.,Animation révolutionnaire qui a rédefini les standards TV.,Phénomène culturel mondial (Mugen Train et records au box-office).,Personnages attachants (Tanjiro) et bestiaire marquant.,Action,2019,2.6000000000000005,8.24,✅ Valeur Sûre
Neon Genesis Evangelion,Mecha / Psychologique,Original,26,Fini,Gainax,1995-10-04,8.5,9.6,Ep 24: Le dernier messager,La trahison et la mort de Kaworu. Un sommet tragique.,7.0,Ep 26: La bête qui criait 'Moi',Fin abstraite et psychédélique qui a frustré une génération.,"Révolution du genre Mecha, commence comme un Shonen classique.",Descente aux enfers psychologique des pilotes.,(Films 'End of Eva' nécessaires pour la vraie fin),Mecha,1995,2.5999999999999996,8.24,✅ Valeur Sûre
One Punch Man,Action / Comedy,Web Manga,24,En cours,Madhouse,2015-10-05,8.5,9.6,Ep 12: Le plus fort des héros,Saitama vs Boros. L'apogée de l'animation japonaise moderne.,6.8,Ep 14 (S2): Le monstre humain,"Changement de studio (JC Staff), baisse visuelle critiquée.","Saison 1 légendaire par Madhouse, satire parfaite des héros.","Saison 2 introduit Garou, histoire plus dense mais anim moins bonne.",(Non diffusé - En production),Action,2015,2.8,8.22,✅ Valeur Sûre
Dan Da Dan,Action / Supernatural,Manga,12,En cours,Science SARU,2024-10-04,8.4,9.7,Ep 7: Acrobatic Silky,Une histoire tragique et émouvante derrière le monstre.,7.9,Ep 12: Let's Go to the Cursed House,Fin de saison un peu abrupte pour certains.,Animation déjantée et créative typique de Science SARU.,"Mélange unique d'occulte, d'aliens et de romance adolescente.",,Action,2024,1.799999999999999,8.22,✅ Valeur Sûre
Demon Slayer,Action / Historical,Manga,55,En cours,Ufotable,2019-04-06,8.5,9.9,Ep 19: Le Dieu du feu,Hinokami Kagura. L'épisode qui a cassé Internet.,7.1,Ep 14: La maison aux blasons,"Zenitsu et Inosuke sont bruyants, humour qui divise.",Formation de Tanjiro et sélection finale.,Rencontre avec Zenitsu/Inosuke et Montagne Natagumo.,Arc du Quartier des Plaisirs (S2) : Combat titanesque contre Daki/Gyutaro.,Action,2019,2.8000000000000007,8.22,✅ Valeur Sûre
Violet Evergarden,Drama / Slice of Life,Light Novel,13,Fini,Kyoto Animation,2018-01-11,8.4,9.7,Ep 10: Un être cher veillera,L'épisode des lettres pour l'anniversaire. Impossible de ne pas pleurer.,7.6,Ep 1: Poupées de souvenirs automatiques,"Introduction lente, mais visuellement époustouflante.",Quête d'émotion d'une enfant-soldat. Animation 'God-tier'.,Chaque épisode est une histoire humaine poignante.,(Films conclusifs sortis après la série),Drama,2018,2.0999999999999996,8.190000000000001,✅ Valeur Sûre
L'Attaque des Titans,Action / Mystery,Manga,89,Fini,Wit Studio / MAPPA,2013-04-07,8.5,9.9,Ep 54: Héros (Hero),Note quasi parfaite. Le sacrifice d'Armin et le discours d'Erwin.,6.8,Ep 14: On ne peut rien y faire (Recap),"Un résumé avant le tribunal, casse le rythme de la S1.",La chute du mur et la peur primale des Titans.,Le complot politique et la révélation du Titan Cuirassé.,Le retour à Shiganshina et la découverte de la cave (Vérité).,Action,2013,3.1000000000000005,8.19,✅ Valeur Sûre
L'Attaque des Titans,Action / Mystery,Manga,89,Fini,Wit Studio / MAPPA,2013-04-07,8.5,9.9,Ep 54: Héros (Hero),Note quasi parfaite. Le sacrifice d'Armin et le discours d'Erwin.,6.8,Ep 14: On ne peut rien y faire (Recap),"Un résumé avant le tribunal, casse le rythme de la S1.",La chute du mur et la peur primale des Titans.,Le complot politique et la révélation du Titan Cuirassé.,Le retour à Shiganshina et la découverte de la cave (Vérité).,Action,2013,3.1000000000000005,8.19,✅ Valeur Sûre
One Outs,Sport / Psychological,Manga,25,Fini,Madhouse,2008-10-08,8.3,8.5,Ep 7: Trick & Trap,L'art de la manipulation psychologique à son paroxysme.,7.2,Ep 16: Trick Stadium,"Un peu en dessous, mais reste très solide.",Tokuchi Toua est un génie du mal fascinant.,"Duel psychologique intense, pas juste du baseball.","Pas de vraie fin (lire le manga), mais le voyage est incroyable.",Sport,2008,1.2999999999999998,8.17,✅ Valeur Sûre
Cyberpunk: Edgerunners,Sci-Fi / Action,Game,10,Fini,Trigger,2022-09-13,8.3,9.2,Ep 10: My Moon My Man,Conclusion dévastatrice. 'I really want to stay at your house'.,7.8,Ep 5: All Eyez On Me,Transition un peu rapide dans la folie de David.,"Esthétique néon incroyable, Studio Trigger au sommet.","Violence et nudité décomplexées, fidèle au jeu.",(Mini-série unique),Sci-Fi,2022,1.3999999999999995,8.16,✅ Valeur Sûre
Parasite: La Maxime,Sci-Fi / Horror,Manga,24,Fini,Madhouse,2014-10-09,8.3,9.3,Ep 12: Coeur,"Migi défend Shinichi, mort de Kana. Bascule psychologique.",7.6,Ep 1: Métamorphose,"Introduction un peu étrange, le design 'années 80' modernisé surprend.","Invasion silencieuse, Shinichi apprend à vivre avec Migi.",Conflit avec les parasites organisés et Reiko Tamura.,Bataille finale et réflexions écologiques sur l'humanité.,Sci-Fi,2014,1.700000000000001,8.13,✅ Valeur Sûre
Dr. Stone,Sci-Fi / Adventure,Manga,57,En cours,TMS Entertainment,2019-07-05,8.3,9.1,Ep 24: Les voix vers l'infini,"Conclusion S1 émouvante, lien passé-futur sublime.",7.1,Ep 14: Master of Flame,"Rythme un peu plus lent, préparation de tournoi.","Le réveil dans un monde de pierre, la science contre la force.",Stone Wars : Conflit idéologique et batailles tactiques.,New World : Exploration maritime et découverte du 'Pourquoi'. ,Sci-Fi,2019,2.0,8.100000000000001,✅ Valeur Sûre
The Promised Neverland,Mystery / Horror,Manga,23,Fini,CloverWorks,2019-01-11,8.5,9.8,Ep 12: 150146,L'évasion. Une conclusion parfaite pour la Saison 1.,5.3,Ep 2x11: The Final,"Saison 2 catastrophique (diaporama final), insulte au manga.",Saison 1 : Un chef d'oeuvre de tension et de stratégie.,"Saison 2 : Rush narratif incompréhensible, arc Goldy Pond sauté.",,Mystery,2019,4.500000000000001,8.05,✅ Valeur Sûre
Erased,Mystery / Supernatural,Manga,12,Fini,A-1 Pictures,2016-01-08,8.3,9.4,Ep 8: Spiral,"Le suspense est à son comble, Satoru proche de la vérité.",6.8,Ep 12: Treasure,"Fin précipitée et différente du manga, décevante pour beaucoup.",Enquête dans le passé pour sauver Kayo Hinazuki.,"Le tueur se rapproche, tension insoutenable.",Confrontation finale dans le présent (rythme accéléré).,Mystery,2016,2.6000000000000005,8.040000000000001,✅ Valeur Sûre
The Eminence in Shadow,Action / Isekai,Light Novel,32,En cours,Nexus,2022-10-05,8.2,9.0,Ep 20: Advent of the Demon,I AM ATOMIC. Le summum du 'Chunibyo' stylé.,7.4,Ep 10: The Sacred Land,Un peu d'exposition nécessaire mais moins d'action.,Parodie brillante des tropes Isekai 'Edgy'.,Cid Kagenou est un protagoniste hilarant dans son incompréhension.,Mélange parfait d'humour absurde et d'action sérieuse.,Action,2022,1.5999999999999996,8.04,✅ Valeur Sûre
Psycho-Pass,Sci-Fi / Police,Original,41,Fini,Production I.G,2012-10-12,8.3,9.2,Ep 11: Saint's Supper,Révélation sur le système Sybil et cruauté de Makishima.,6.5,Ep 18 (S2): Titre S2,La saison 2 est globalement mal aimée (changement de scénariste).,Découverte du Dominator et traque de Makishima (Chef d'oeuvre).,"Saison 2 : Akane est cheffe, mais scénario moins fin.","Saison 3 : Nouveaux inspecteurs, intrigue plus politique.",Sci-Fi,2012,2.6999999999999993,8.030000000000001,✅ Valeur Sûre
Kenshin le Vagabond,Action / Historical,Manga,95,Fini,Studio Gallop / Deen,1996-01-10,8.3,9.0,Ep 30: Revenge,Le combat contre Saito à Kyoto. Sommet de la série.,6.2,Ep 80: Feng Shui Arc,"Filler de la saison 3, animation et scénario médiocres.",Arc Kyoto (S2) : Le Shonen à son apogée (Shishio Makoto).,"Saison 3 (Fillers) à éviter, la qualité chute drastiquement.",Kenshin Himura : le vagabond pacifiste au passé sanglant.,Action,1996,2.8,8.020000000000001,✅ Valeur Sûre
Naruto,Action / Shonen,Manga,220,Fini,Studio Pierrot,2002-10-03,8.4,9.6,Ep 133: Le cri des larmes,Animation fluide et combat viscéral incroyable.,5.8,Ep 26: Journal de Konoha (Recap),"Remplissage inutile, à sauter.","Arc Zabuza très émouvant, bases solides.",Examen Chuunin introduit une tension sombre.,Combat Lee vs Gaara légendaire.,Action,2002,3.8,8.02,✅ Valeur Sûre
Great Pretender,Adventure / Comedy,Original,23,Fini,Wit Studio,2020-06-02,8.2,9.1,Ep 5: Los Angeles Connection,Le twist final du premier arc est magistral.,7.0,Ep 23: Wizard of Far East,Fin de la S1 un peu trop rocambolesque pour certains.,"Ambiance jazzy, direction artistique colorée et internationale.","Arnaqueurs de haut vol, scénario à tiroirs très plaisant.",Les différents 'Cases' (arcs) explorent le passé des membres.,Adventure,2020,2.0999999999999996,7.989999999999999,✅ Valeur Sûre
Re:Zero,Isekai / Psychologique,Light Novel,50,Fini,White Fox,2016-04-04,8.2,9.8,Ep 15: L'extérieur de la folie,"Chef d'oeuvre d'horreur et de désespoir, fin légendaire.",7.6,Ep 13: Le chevalier autoproclamé,"Episode gênant (cringe) voulu par le scénario, dur à voir.",Boucle temporelle et basculement vers le thriller psycho.,Arc Sanctuaire dense en dialogues et passé des sorcières.,"Résolution intelligente, Subaru grandit et utilise son pouvoir.",Isekai,2016,2.200000000000001,7.9799999999999995,✅ Valeur Sûre
Solo Leveling,Action / Fantasy,Manhwa,12,En cours,A-1 Pictures,2024-01-07,8.3,9.5,Ep 12: Arise (Lève-toi),Le moment que tous les fans attendaient. Frissons garantis.,6.2,Ep 7.5: Recap,Episode récapitulatif de mi-saison inutile sur 12 épisodes.,Jinwoo passe de faible à 'Monarque'. Progression addictive.,(Saison 2 annoncée),(Non diffusé),Action,2024,3.3,7.970000000000001,✅ Valeur Sûre
No Game No Life,Isekai / Fantasy,Light Novel,12,En pause,Madhouse,2014-04-09,8.1,8.8,Ep 6: Interesting,Le jeu de mots (Shiritori) matérialisé contre Jibril. Génie.,7.3,Ep 1: Beginner,Beaucoup d'exposition et fan-service un peu lourd.,"Monde coloré saturé unique, concept de jeux intellectuels.",Duo Sora/Shiro imbattable mais socialement inadapté.,"(Saison 2 réclamée par les fans depuis 10 ans, toujours rien)",Isekai,2014,1.5000000000000009,7.949999999999999,✅ Valeur Sûre
Trigun,Sci-Fi / Action,Manga,26,Fini,Madhouse,1998-04-01,8.2,9.1,Ep 24: Le péché (Sin),"Conclusion tragique de l'arc Wolfwood, émotion pure.",6.5,Ep 13: Vash the Stampede (Recap),Résumé de mi-saison qui casse le rythme.,"Début western comique, Vash joue l'idiot.",Virage dramatique sombre avec les Gung-Ho Guns.,Révélations philosophiques sur le passé et Knives.,Sci-Fi,1998,2.5999999999999996,7.9399999999999995,✅ Valeur Sûre
Kuroko's Basket,Sport / Basketball,Manga,75,Fini,Production I.G,2012-04-07,8.1,9.0,Ep 24: Don't Get the Wrong Idea,Kise vs Aomine. Le duel de la Génération des Miracles.,7.3,Ep 5: Your Basketball,"Mise en place de l'équipe, rythme plus lent.",Basket avec des super-pouvoirs assumés ('The Zone').,Animation fluide et intensité des matchs incomparable.,,Sport,2012,1.7000000000000002,7.93,✅ Valeur Sûre
Blue Lock,Sport / Thriller,Manga,36,En cours,8bit,2022-10-09,8.2,9.3,Ep 11: La dernière pièce,"Le puzzle s'assemble, le but d'Isagi est jouissif.",6.0,Ep 22: Voice (S2),"Qualité d'animation en baisse critique, beaucoup de plans fixes.","Concept Battle Royale de foot, égoïsme pur mis en avant.","Sélection U-20, enjeux d'équipe vs individualité.",(Non diffusé),Sport,2022,3.3000000000000007,7.869999999999999,✅ Valeur Sûre
Zetsuen No Tempest,Mystery / Fantasy,Manga,24,Fini,Bones,2012-10-05,7.9,8.5,Ep 1: The Mage in the Barrel,Une introduction mystérieuse et accrocheuse.,7.4,Ep 13: Tone Shift,Transition de milieu de saison qui divise les fans.,Dialogue shakespearien et citations de Hamlet/The Tempest.,Yoshino et Mahiro : un duo de protagonistes complexe.,La deuxième partie est plus lente et différente de la première.,Mystery,2012,1.0999999999999996,7.79,✅ Valeur Sûre
Assassination Classroom,Comedy / Action,Manga,47,Fini,Lerche,2015-01-09,8.0,9.4,Ep 24 (S2): Le temps des diplômes,L'appel final. Une des fins les plus tristes de l'animation.,7.2,Ep 1 (S1): L'heure de la mort,Concept bizarre difficile à accepter au début.,Koro-sensei est le meilleur prof de l'histoire. Humour omniprésent.,Développement des élèves et le passé du prof révélé.,Conclusion parfaite qui boucle toutes les intrigues.,Comedy,2015,2.2,7.78,✅ Valeur Sûre
JoJo's Bizarre Adventure,Action / Supernatural,Manga,26,Fini,David Production,2012-10-06,8.0,9.1,Ep 20: Caesar's Youth,Le combat et le sacrifice de Caesar. 'SHIZAAAA!',6.9,Ep 10: New York's JoJo,"Début de la partie 2, transition de style surprenante.","Partie 1 (Phantom Blood) : Jonathan vs Dio, gothique et classique.","Partie 2 (Battle Tendency) : Joseph Joestar, tactique et humour.",Introduction des 'Stands' (Partie 3 - Stardust Crusaders).,Action,2012,2.1999999999999993,7.78,✅ Valeur Sûre
